variant,cases,pct_of_cases
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,1056,3.35
A_Create Application -> W_Complete application -> W_Complete application -> A_Concept -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,1021,3.24
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,734,2.33
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,451,1.43
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,332,1.05
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> W_Complete application -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,298,0.95
A_Create Application -> W_Complete application -> W_Complete application -> A_Concept -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Validate application -> W_Validate application -> A_Validating -> O_Returned -> W_Validate application -> O_Accepted -> A_Pending -> W_Validate application,278,0.88
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Validate application -> W_Validate application -> A_Validating -> O_Returned -> W_Validate application -> O_Accepted -> A_Pending -> W_Validate application,244,0.77
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Validate application -> W_Validate application -> A_Validating -> O_Returned -> W_Validate application -> O_Accepted -> A_Pending -> W_Validate application,212,0.67
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> W_Complete application -> W_Complete application -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,204,0.65
