activity,total_wait_h,median_wait_h,occurrences,pct_of_total_wait,total_wait_days
W_Call after offers,5758287.227964723,0.01,191092,34.8,239929.0
A_Cancelled,5176252.958476945,639.83,10431,31.3,215677.0
W_Call incomplete files,1498436.3842752778,0.02,168529,9.0,62435.0
W_Validate application,1241461.3580730555,0.0,209496,7.5,51728.0
W_Complete application,893832.396645,0.0,148900,5.4,37243.0
O_Accepted,824906.8386644444,2.89,17228,5.0,34371.0
O_Create Offer,658596.84228,0.06,42995,4.0,27442.0
A_Accepted,248288.02190305555,0.13,31509,1.5,10345.0
A_Denied,91784.27799777778,0.65,3753,0.6,3824.0
O_Returned,62431.94178166667,0.01,23305,0.4,2601.0
W_Assess potential fraud,29118.203504722223,0.01,3282,0.2,1213.0
O_Cancelled,24551.00795,0.0,20898,0.1,1023.0
W_Handle leads,22579.696551944446,0.01,47264,0.1,941.0
W_Personal Loan collection,12338.873186666666,0.01,22,0.1,514.0
W_Shortened completion ,11187.097666666667,0.0,238,0.1,466.0
O_Sent (mail and online),6282.289101666666,0.01,39707,0.0,262.0
O_Sent (online only),475.9955975,0.0,2026,0.0,20.0
O_Created,12.692474444444445,0.0,42995,0.0,1.0
A_Validating,5.912704722222222,0.0,38816,0.0,0.0
A_Submitted,1.9269225,0.0,20423,0.0,0.0
A_Concept,0.055973055555555554,0.0,31509,0.0,0.0
O_Refused,0.05086583333333333,0.0,4695,0.0,0.0
A_Pending,0.04054166666666666,0.0,17228,0.0,0.0
A_Complete,0.030563888888888887,0.0,31362,0.0,0.0
A_Incomplete,0.0200025,0.0,23055,0.0,0.0
